epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,81.5001,0.9336,1.69604,0.75579,1.2751,0.8149,0.83519,0.88869,0.69549,0.82117,0.84162,0.88965,0.65185,0.77262,1.45899,0.87828,1.17625,0.000978873,0.000978873,0.000978873
30,84.322,0.87673,1.58555,0.76151,1.24537,0.8149,0.83923,0.88873,0.68148,0.76329,0.87781,0.88427,0.65292,0.79798,1.48883,0.75952,1.20382,0.000977349,0.000977349,0.000977349
31,86.7345,0.9583,1.77251,0.80408,1.32339,0.85114,0.8135,0.88981,0.6752,0.85474,0.81994,0.88804,0.64619,0.86045,1.50884,0.73372,1.25255,0.000975773,0.000975773,0.000975773
32,87.5203,0.90208,1.65633,0.78583,1.2897,0.80585,0.86495,0.88948,0.6947,0.80585,0.86495,0.89422,0.66059,0.7807,1.5384,0.7264,1.22877,0.000974145,0.000974145,0.000974145
33,90.18,0.89726,1.62184,0.7696,1.29045,0.80749,0.89389,0.89647,0.6867,0.80829,0.89478,0.90387,0.67251,0.79677,1.48639,0.80434,1.23629,0.000972466,0.000972466,0.000972466
34,92.7782,0.88269,1.44771,0.6908,1.27001,0.79347,0.89068,0.88033,0.66562,0.78487,0.89389,0.8805,0.6373,0.8166,1.51845,0.92411,1.24627,0.000970736,0.000970736,0.000970736
35,95.5069,0.90588,1.63912,0.70306,1.25643,0.80054,0.84887,0.85629,0.62298,0.80083,0.85328,0.86752,0.60697,0.91946,1.66931,0.96888,1.33681,0.000968955,0.000968955,0.000968955
36,98.1399,0.89914,1.59954,0.73207,1.28145,0.82072,0.83601,0.8521,0.61678,0.81397,0.84414,0.84995,0.5784,0.89503,1.82047,0.90488,1.33012,0.000967122,0.000967122,0.000967122
37,100.796,0.91159,1.59219,0.74243,1.28628,0.77489,0.86817,0.86926,0.62995,0.80291,0.85143,0.86593,0.59607,0.89089,1.91488,0.89906,1.30435,0.000965239,0.000965239,0.000965239
38,103.58,0.93993,1.65789,0.77324,1.32106,0.81446,0.83277,0.88402,0.6487,0.82408,0.8435,0.8898,0.61471,0.8773,1.7403,0.87644,1.2963,0.000963306,0.000963306,0.000963306
39,106.281,0.87513,1.60759,0.73187,1.26388,0.81103,0.8556,0.89811,0.65227,0.83181,0.87138,0.90042,0.58262,0.90031,1.76439,0.83516,1.3084,0.000961322,0.000961322,0.000961322
40,109.024,0.84816,1.60032,0.72451,1.22913,0.86668,0.85702,0.89984,0.67453,0.87011,0.8616,0.90091,0.58727,0.80458,1.6813,0.77598,1.22232,0.000959289,0.000959289,0.000959289
41,111.736,0.88763,1.75027,0.70711,1.2708,0.8718,0.85279,0.90498,0.68365,0.86851,0.84957,0.89564,0.60937,0.75803,1.58586,0.73786,1.18823,0.000957205,0.000957205,0.000957205
42,114.607,0.88966,1.54497,0.71064,1.25413,0.83676,0.87355,0.89753,0.68573,0.83957,0.87501,0.89141,0.64032,0.77536,1.50635,0.72568,1.19211,0.000955072,0.000955072,0.000955072
43,117.504,0.84975,1.55583,0.69039,1.24377,0.83934,0.87351,0.89411,0.68668,0.83934,0.87351,0.89439,0.66636,0.80987,1.45706,0.71429,1.19815,0.000952889,0.000952889,0.000952889
44,119.38,0.85277,1.52535,0.67975,1.25235,0.86649,0.81389,0.87387,0.67396,0.89287,0.80399,0.87619,0.663,0.78942,1.45652,0.72473,1.21068,0.000950658,0.000950658,0.000950658
45,122.132,0.83184,1.54685,0.70904,1.22485,0.86956,0.81029,0.86401,0.68264,0.87631,0.82014,0.88262,0.67881,0.74534,1.37003,0.6972,1.19631,0.000948377,0.000948377,0.000948377
46,125.037,0.82863,1.43236,0.66913,1.20238,0.86269,0.80808,0.86919,0.69095,0.87642,0.82094,0.88351,0.67977,0.73878,1.40873,0.68912,1.17201,0.000946048,0.000946048,0.000946048
47,127.835,0.90363,1.83247,0.72699,1.27475,0.80182,0.86495,0.86586,0.6797,0.84506,0.83601,0.88146,0.66493,0.75598,1.41002,0.68587,1.16628,0.000943671,0.000943671,0.000943671
48,130.585,0.84386,1.49511,0.67449,1.2216,0.84319,0.83923,0.8711,0.69177,0.852,0.84566,0.89013,0.65323,0.73517,1.41561,0.68313,1.1561,0.000941245,0.000941245,0.000941245
49,133.385,0.82969,1.55118,0.6627,1.21461,0.85328,0.82277,0.89912,0.7059,0.83967,0.86174,0.902,0.66632,0.72924,1.40197,0.66668,1.1666,0.000938772,0.000938772,0.000938772
50,136.246,0.83949,1.53317,0.66008,1.21866,0.83623,0.83733,0.89996,0.70247,0.84726,0.85613,0.90001,0.63699,0.75508,1.49775,0.69292,1.18578,0.000936251,0.000936251,0.000936251
51,139.088,0.84354,1.52894,0.69363,1.2364,0.80291,0.87761,0.88966,0.67497,0.80494,0.88103,0.8775,0.59274,0.82969,1.75758,0.75053,1.23705,0.000933683,0.000933683,0.000933683
52,141.763,0.86381,1.46733,0.6923,1.25314,0.81736,0.85852,0.89662,0.6795,0.81632,0.85744,0.88501,0.62297,0.84664,1.65369,0.72807,1.2552,0.000931067,0.000931067,0.000931067
53,144.577,0.88346,1.52412,0.70756,1.26331,0.82036,0.89068,0.91296,0.70828,0.81551,0.88122,0.90828,0.68589,0.77117,1.41359,0.6608,1.21179,0.000928405,0.000928405,0.000928405
54,148.261,0.89821,1.72332,0.74811,1.31503,0.83044,0.88188,0.91151,0.72083,0.84525,0.86057,0.90855,0.68577,0.71953,1.36524,0.63419,1.17909,0.000925697,0.000925697,0.000925697
