epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,171.601,0.58043,0.54105,0.23764,0.00622,0.30345,0.80401,0.85656,0.85364,0.59955,0.80401,0.85656,0.8426,0.62735,1.00007,1.71528,0.83549,0.01174,0,0.000999209,0.000999209,0.000999209
29,177.419,0.55094,0.55622,0.24786,0.00601,0.364,0.86957,0.81967,0.87118,0.63765,0.84844,0.82593,0.85582,0.65373,0.99465,1.6534,0.71544,0.01169,0,0.000999149,0.000999149,0.000999149
30,183.072,0.50887,0.54558,0.22722,0.00558,0.29166,0.84426,0.81967,0.85962,0.63016,0.84848,0.82377,0.84566,0.63826,0.95626,1.61711,0.73931,0.01106,0,0.000999087,0.000999087,0.000999087
31,188.814,0.46312,0.50434,0.21733,0.00518,0.28367,0.78441,0.88115,0.82898,0.61927,0.77725,0.86475,0.8172,0.63445,0.93097,1.6429,0.79403,0.01079,0,0.000999023,0.000999023,0.000999023
32,194.628,0.53755,0.61006,0.24546,0.00593,0.47619,0.7808,0.85246,0.82196,0.61831,0.83399,0.80328,0.81147,0.63111,0.90679,1.71234,0.77462,0.01051,0,0.000998957,0.000998957,0.000998957
33,200.443,0.44344,0.47771,0.19751,0.00468,0.26897,0.79112,0.82787,0.80695,0.62462,0.79901,0.83607,0.8048,0.64015,0.87842,1.66015,0.8343,0.01017,0,0.000998889,0.000998889,0.000998889
34,206.229,0.41527,0.49497,0.18764,0.0046,0.29016,0.80825,0.82923,0.83225,0.651,0.85872,0.79098,0.8221,0.65957,0.85257,1.53978,0.84916,0.0101,0,0.000998818,0.000998818,0.000998818
35,212.226,0.426,0.47928,0.17644,0.00462,0.28308,0.8312,0.82741,0.85318,0.66977,0.82556,0.82377,0.84272,0.67117,0.86269,1.60815,0.8033,0.01006,0,0.000998746,0.000998746,0.000998746
36,218.168,0.44493,0.44598,0.19655,0.00485,0.24999,0.81767,0.82708,0.83013,0.63384,0.82983,0.83938,0.83127,0.65855,0.92563,1.64338,0.8122,0.01073,0,0.000998671,0.000998671,0.000998671
37,223.967,0.41074,0.43976,0.17192,0.0044,0.25663,0.8502,0.81415,0.8289,0.63251,0.84595,0.81019,0.81772,0.65112,0.89176,1.64162,0.82551,0.01049,0,0.000998594,0.000998594,0.000998594
38,229.738,0.40072,0.43933,0.17103,0.00434,0.25274,0.83844,0.83197,0.82641,0.61905,0.8467,0.84016,0.82928,0.65049,0.97036,1.64116,0.84336,0.01123,0,0.000998514,0.000998514,0.000998514
39,235.601,0.41583,0.43513,0.17286,0.00439,0.24408,0.83752,0.81557,0.83679,0.61104,0.83752,0.81557,0.8306,0.65041,0.96432,1.67023,0.88538,0.01132,0,0.000998433,0.000998433,0.000998433
40,241.4,0.42118,0.44393,0.17439,0.00433,0.24855,0.80476,0.81967,0.82554,0.62381,0.79305,0.80738,0.81369,0.64746,0.93746,1.70469,0.91538,0.01137,0,0.00099835,0.00099835,0.00099835
41,247.064,0.40075,0.42755,0.16801,0.00422,0.23764,0.83483,0.81557,0.83569,0.63135,0.82211,0.80328,0.81042,0.64562,0.95986,1.75843,0.88758,0.01133,0,0.000998264,0.000998264,0.000998264
42,252.795,0.43118,0.40939,0.16768,0.00477,0.23308,0.82989,0.83973,0.82875,0.6147,0.82989,0.83973,0.8259,0.65274,0.97806,1.68779,0.90301,0.01154,0,0.000998176,0.000998176,0.000998176
43,258.566,0.42551,0.39318,0.169,0.00479,0.21501,0.80983,0.82029,0.83969,0.62029,0.82682,0.82184,0.83984,0.65526,0.93812,1.64822,0.90435,0.01101,0,0.000998086,0.000998086,0.000998086
44,264.357,0.39343,0.37776,0.17258,0.00411,0.20576,0.81887,0.84836,0.84268,0.64607,0.82282,0.85246,0.84624,0.67025,0.88476,1.69252,0.82866,0.01038,0,0.000997994,0.000997994,0.000997994
45,270.192,0.43022,0.37834,0.16702,0.00471,0.20596,0.8201,0.85943,0.82709,0.63753,0.80358,0.87705,0.8195,0.66688,0.92569,1.68249,0.87203,0.01067,0,0.0009979,0.0009979,0.0009979
46,276.029,0.43989,0.34984,0.16715,0.00459,0.19571,0.81467,0.82377,0.82739,0.63744,0.82278,0.83197,0.83218,0.66054,0.89882,1.67251,0.89904,0.01019,0,0.000997803,0.000997803,0.000997803
47,281.777,0.40966,0.35181,0.16727,0.00416,0.19506,0.83717,0.8218,0.82367,0.6503,0.833,0.81771,0.81603,0.65563,0.86603,1.74822,0.85723,0.00998,0,0.000997705,0.000997705,0.000997705
48,287.556,0.37159,0.3402,0.15595,0.004,0.20007,0.84337,0.79098,0.83393,0.63178,0.839,0.78689,0.82518,0.66068,0.93803,1.76094,0.89792,0.01081,0,0.000997604,0.000997604,0.000997604
49,293.262,0.38404,0.33016,0.15411,0.00379,0.18513,0.88556,0.76115,0.82983,0.64057,0.8937,0.77459,0.82854,0.66742,0.90004,1.60247,0.90784,0.01029,0,0.000997501,0.000997501,0.000997501
50,298.998,0.33704,0.31509,0.14327,0.00334,0.17909,0.84676,0.76997,0.83236,0.65922,0.85577,0.77817,0.83322,0.67536,0.84519,1.58345,0.91289,0.00989,0,0.000997396,0.000997396,0.000997396
51,304.737,0.32427,0.33254,0.14088,0.00328,0.1832,0.83478,0.77869,0.825,0.63833,0.82816,0.79007,0.81813,0.65777,0.87584,1.81869,0.949,0.01031,0,0.000997288,0.000997288,0.000997288
52,310.38,0.34331,0.30815,0.15058,0.00355,0.17019,0.80251,0.81557,0.81266,0.64185,0.79863,0.83197,0.81665,0.65618,0.84772,1.75498,1.00481,0.00996,0,0.000997179,0.000997179,0.000997179
53,316.036,0.32232,0.34323,0.20956,0.00308,0.24394,0.80427,0.81557,0.81456,0.6331,0.85468,0.76639,0.8206,0.66178,0.86515,1.67378,0.98938,0.01024,0,0.000997067,0.000997067,0.000997067
54,321.757,0.35519,0.30696,0.1505,0.0039,0.17916,0.84113,0.83607,0.83658,0.64981,0.84113,0.83607,0.83654,0.67356,0.86994,1.64254,0.91266,0.01023,0,0.000996954,0.000996954,0.000996954
55,327.507,0.36239,0.28915,0.16184,0.00392,0.16754,0.81246,0.83607,0.83017,0.64989,0.82042,0.84426,0.83581,0.6719,0.84647,1.63901,0.87296,0.00994,0,0.000996838,0.000996838,0.000996838
56,333.232,0.33796,0.28049,0.15989,0.00345,0.1622,0.84238,0.79508,0.82238,0.64128,0.85571,0.80738,0.83349,0.66914,0.87703,1.62752,0.88157,0.01019,0,0.00099672,0.00099672,0.00099672
57,339.064,0.32395,0.26285,0.14009,0.00328,0.15575,0.81783,0.82377,0.82272,0.64011,0.8219,0.82787,0.82881,0.66639,0.8532,1.63569,0.88602,0.00989,0,0.000996599,0.000996599,0.000996599
58,344.837,0.36661,0.26487,0.15823,0.00375,0.14563,0.83172,0.79918,0.80967,0.62132,0.82517,0.80328,0.7994,0.64541,0.89753,1.73105,0.94365,0.01044,0,0.000996477,0.000996477,0.000996477
59,350.548,0.34038,0.2559,0.15318,0.00357,0.15082,0.84464,0.80328,0.80369,0.60924,0.84525,0.80587,0.79667,0.63589,0.88755,1.71862,0.96317,0.01038,0,0.000996352,0.000996352,0.000996352
60,356.251,0.3752,0.26628,0.15422,0.00409,0.15487,0.87554,0.77843,0.80785,0.62546,0.81785,0.82377,0.80067,0.63944,0.87072,1.71007,0.91953,0.01016,0,0.000996226,0.000996226,0.000996226
61,361.95,0.3126,0.24965,0.12211,0.0034,0.14306,0.86603,0.77049,0.80429,0.6346,0.86133,0.76639,0.79399,0.64239,0.86269,1.7577,0.93353,0.01004,0,0.000996097,0.000996097,0.000996097
62,367.713,0.30546,0.25656,0.12474,0.00322,0.14123,0.82177,0.81255,0.82578,0.64314,0.81763,0.80845,0.81896,0.65482,0.87072,1.81471,0.88932,0.01022,0,0.000995966,0.000995966,0.000995966
63,373.442,0.29194,0.23549,0.12828,0.00305,0.13056,0.80228,0.84811,0.83116,0.64835,0.7984,0.84401,0.81898,0.66565,0.85454,1.79532,0.83746,0.01014,0,0.000995833,0.000995833,0.000995833
64,379.11,0.27972,0.24456,0.12184,0.00306,0.13509,0.85081,0.81805,0.83395,0.64919,0.85081,0.81805,0.82587,0.66629,0.84868,1.84895,0.87215,0.01,0,0.000995697,0.000995697,0.000995697
