epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,45.296,0.30348,0.49454,0.39563,0.80218,0,0.8195,0.87705,0.88073,0.67319,0.8195,0.87705,0.87798,0.67887,0.78955,1.70044,0.85785,1.15948,0,0.000999209,0.000999209,0.000999209
29,46.6568,0.30785,0.53168,0.40024,0.80764,0,0.82084,0.86475,0.86966,0.67091,0.81671,0.85833,0.86414,0.66997,0.77017,1.75423,0.86242,1.13883,0,0.000999149,0.000999149,0.000999149
30,48.0034,0.29332,0.48949,0.38938,0.79853,0,0.84248,0.86885,0.88011,0.67189,0.83579,0.85525,0.87453,0.6751,0.79324,1.74896,0.83356,1.16307,0,0.000999087,0.000999087,0.000999087
31,49.5538,0.25155,0.49317,0.37333,0.79132,0,0.8093,0.85246,0.87498,0.68417,0.82234,0.82377,0.8681,0.68265,0.75671,1.72409,0.84233,1.16331,0,0.000999023,0.000999023,0.000999023
32,50.9299,0.27286,0.50774,0.37771,0.8041,0,0.82985,0.81953,0.87303,0.67206,0.83494,0.79098,0.86367,0.67611,0.76402,1.72749,0.86262,1.15613,0,0.000998957,0.000998957,0.000998957
33,52.2905,0.24573,0.43328,0.35467,0.78953,0,0.81063,0.84426,0.87579,0.67197,0.81585,0.84016,0.87119,0.66853,0.75586,1.74614,0.85729,1.15688,0,0.000998889,0.000998889,0.000998889
34,53.6586,0.2393,0.43313,0.35388,0.79316,0,0.80796,0.85246,0.87618,0.67258,0.80019,0.84426,0.86436,0.66734,0.76978,1.78816,0.8429,1.15694,0,0.000998818,0.000998818,0.000998818
35,55.0184,0.25312,0.44558,0.35402,0.79825,0,0.799,0.86343,0.87827,0.68402,0.78343,0.84504,0.85963,0.67639,0.76298,1.78423,0.83471,1.13511,0,0.000998746,0.000998746,0.000998746
36,56.4369,0.2367,0.40475,0.34308,0.79041,0,0.82432,0.84615,0.84461,0.64514,0.80439,0.82581,0.83031,0.63694,0.77475,1.95924,0.85435,1.16619,0,0.000998671,0.000998671,0.000998671
37,57.9704,0.22932,0.43055,0.32461,0.78498,0,0.81482,0.84016,0.84908,0.65372,0.80755,0.83197,0.83622,0.64738,0.76065,1.93312,0.83315,1.15326,0,0.000998594,0.000998594,0.000998594
